id_rumah_sakit,root_cause_primary,root_cause_secondary,root_cause_multilabel,root_cause_strength,root_cause_confidence_gap,cause_score_it_capability,cause_score_infrastructure,cause_score_adoption,cause_score_investment_conversion,cause_score_capacity,cause_score_integration
RS0083,Kesenjangan Infrastruktur,Kesenjangan Adopsi,Kesenjangan Infrastruktur; Kesenjangan Adopsi; Kesenjangan Kapabilitas IT,0.8761061946902655,0.20353982300884965,0.663716814159292,0.8761061946902655,0.6725663716814159,0.0,0.6017699115044248,0.0
RS0084,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.6095890410958904,0.05136986301369861,0.6095890410958904,0.136986301369863,0.3972602739726028,0.5205479452054795,0.5582191780821918,0.0
RS0085,Kesenjangan Integrasi,Gap Konversi Investasi — indikator relatif,Kesenjangan Integrasi; Gap Konversi Investasi — indikator relatif; Kesenjangan Adopsi; Tekanan Kapasitas; Kesenjangan Infrastruktur,1.0,0.09734513274336287,0.23008849557522126,0.6504424778761062,0.7787610619469026,0.9026548672566371,0.7433628318584071,1.0
RS0086,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.5753424657534247,0.06849315068493156,0.5753424657534247,0.5068493150684932,0.20547945205479456,0.0,0.4486301369863014,0.0
RS0087,Tidak ada bottleneck dominan,,Tekanan Kapasitas,0.6548672566371682,0.07964601769911506,0.5752212389380531,0.49557522123893805,0.4424778761061947,0.0,0.6548672566371682,0.0
RS0088,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.595890410958904,0.006849315068493067,0.589041095890411,0.26027397260273977,0.410958904109589,0.0,0.595890410958904,0.0
RS0089,Tekanan Kapasitas,,Tekanan Kapasitas,0.8648648648648649,0.28378378378378377,0.46621621621621623,0.5810810810810811,0.2432432432432432,0.0,0.8648648648648649,0.0
RS0090,Tidak ada bottleneck dominan,,Kesenjangan Adopsi,0.6875,0.1875,0.0,0.5,0.6875,0.0,0.34375,0.0
RS0091,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.4383561643835616,0.0273972602739726,0.2465753424657534,0.4383561643835616,0.28767123287671237,0.0,0.410958904109589,0.0
RS0092,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.3356164383561644,0.32191780821917804,0.0,0.0,0.013698630136986356,0.0,0.3356164383561644,0.0
RS0093,Tidak ada bottleneck dominan,Kesenjangan Kapabilitas IT,Kesenjangan Infrastruktur; Kesenjangan Kapabilitas IT,0.6991150442477876,0.017699115044247815,0.6814159292035398,0.6991150442477876,0.4690265486725663,0.0,0.6017699115044248,0.0
RS0094,Kesenjangan Integrasi,Tekanan Kapasitas,Kesenjangan Integrasi; Tekanan Kapasitas; Kesenjangan Adopsi,1.0,0.1351351351351351,0.6351351351351351,0.5675675675675675,0.6621621621621622,0.6486486486486487,0.8648648648648649,1.0
RS0095,Kesenjangan Integrasi,Kesenjangan Infrastruktur,Kesenjangan Integrasi; Kesenjangan Infrastruktur,1.0,0.21238938053097345,0.21238938053097345,0.7876106194690266,0.3893805309734514,0.0,0.43805309734513276,1.0
